neighborhood,area,n_restaurant,n_pizzeria,n_restaurant_per_km2,n_pizzeria_per_km2,rating_restaurant,rating_pizzeria,rating_pizzeria_unweighted,total_reviews_restaurant,median_reviews_restaurant,median_reviews_pizzeria,pizzeria_pct_of_nbhd,pizzeria_pct_delta,top_cuisine,top_pct_of_cuisine,top_pct_of_neighborhood,top_food_quotient
Battery Park City,0.8852027537421222,45,3,50.8,3.4,3.4005836317814033,2.8199233716475094,2.8333333333333335,7539,143.0,94.0,0.06666666666666667,-0.010249361549499167,french,0.047619047619047616,0.14285714285714285,7.401360544217686
Chelsea,4.763526941615433,482,33,101.2,6.9,3.740217647722494,3.747351263243684,3.3636363636363638,97497,74.0,82.0,0.06846473029045644,-0.008451297925709395,spanish,0.24390243902439024,0.021413276231263382,3.409411396041155
Chinatown,0.874945633075275,256,2,292.6,2.3,3.7378176853602185,4.161290322580645,4.25,76176,84.0,62.0,0.0078125,-0.06910352821616583,cantonese,0.6,0.036290322580645164,15.793548387096775
Civic Center,0.5773049132658652,16,3,27.7,5.2,3.54236276849642,3.5869565217391304,3.1666666666666665,838,11.0,7.0,0.1875,0.11058397178383417,,,,
East Harlem,6.7664218000305105,236,21,34.9,3.1,3.728274045897254,3.936002337814144,3.2857142857142856,23923,22.0,15.0,0.08898305084745763,0.012067022631291793,chicken_wings,0.21568627450980393,0.04700854700854701,6.017094017094017
East Village,3.175238459157078,457,40,143.9,12.6,3.9381720907911344,3.961546225272507,3.65,168783,142.0,59.0,0.087527352297593,0.010611324081427162,vietnamese,0.21428571428571427,0.027149321266968326,3.1648351648351647
Financial District,2.2071703861461165,358,26,162.2,11.8,3.7758424745528214,3.738881961762261,3.576923076923077,40476,49.5,104.0,0.07262569832402235,-0.00429032989214348,foodtrucks,0.3333333333333333,0.09510086455331412,6.270893371757925
Flatiron District,0.6048793452984325,105,2,173.6,3.3,3.8848527960715025,4.185714285714286,4.25,43579,139.0,17.5,0.01904761904761905,-0.05786840916854678,italian,0.02766798418972332,0.14,1.8061660079051385
Gramercy,1.0224494991631852,102,7,99.8,6.8,3.6599125867423226,3.8174872665534805,3.357142857142857,26083,100.5,109.0,0.06862745098039216,-0.00828857723577367,chinese,0.03216374269005848,0.11,2.0996491228070173
Greenwich Village,1.31286394577514,138,7,105.1,5.3,3.8768450872223053,3.625,3.357142857142857,46949,166.5,113.0,0.050724637681159424,-0.02619139053500641,french,0.047619047619047616,0.044444444444444446,2.3026455026455026
Harlem,10.448415794267426,318,27,30.4,2.6,3.6407771135781384,3.79959100204499,3.2962962962962963,35130,28.0,42.0,0.08490566037735849,0.007989632161192653,caribbean,0.3488372093023256,0.047619047619047616,7.2292358803986705
Hell's Kitchen,4.0440641689031205,442,39,109.3,9.6,3.7875528424150953,3.6673853390827125,3.3333333333333335,133179,126.5,63.0,0.08823529411764706,0.011319265901481232,mideastern,0.125,0.013824884792626729,1.880184331797235
Inwood,5.218798509230844,110,11,21.1,2.1,3.4215596853266446,3.3022312373225153,2.590909090909091,8771,22.0,20.0,0.1,0.023083971783834173,dominican,0.2,0.045871559633027525,11.977981651376147
Kips Bay,1.4256846402037069,96,10,67.3,7.0,3.6582097100472017,3.8100714951818464,3.3,17796,61.5,113.0,0.10416666666666667,0.02725063845050084,cafes,0.027932960893854747,0.05434782608695652,1.9820257469030846
Little Italy,0.1692580968253383,59,0,348.6,0.0,3.7889092862899614,,,22334,257.0,,0.0,-0.07691602821616583,italian,0.05731225296442688,0.4915254237288136,6.34126080257252
