neighborhood,name,rating,review_count,price,latitude,longitude,category,parent_category
Battery Park City,Tartinery Hudson Eats,4.0,368,$$,40.712338,-74.01588000000001,french,restaurants
Battery Park City,L'Appart,5.0,101,$$$$,40.712708,-74.015919,french,restaurants
Battery Park City,Le District,3.5,546,$$,40.712647361798396,-74.0157784596443,french,restaurants
Battery Park City,Num Pang Kitchen,3.5,185,$$,40.712455,-74.015304,sandwiches,restaurants
Battery Park City,El Vez,3.5,648,$$,40.714735637679205,-74.015635,mexican,restaurants
Battery Park City,Morton's The Steakhouse,4.0,245,$$$,40.7097005194611,-74.0139538049698,steak,restaurants
Battery Park City,Umami Burger - Brookfield Place,3.0,307,$$,40.713225,-74.015913,newamerican,restaurants
Battery Park City,Kimchi Taco,3.0,223,$,40.711212158203104,-74.0148391723633,korean,restaurants
Battery Park City,Beaubourg,3.0,277,$$$,40.71156,-74.01533,french,restaurants
Battery Park City,Blue Ribbon Sushi Bar - Hudson Eats,3.5,146,$$,40.712693,-74.015839,sushi,restaurants
Battery Park City,Suspenders Restaurant & Bar,4.0,257,$$,40.70857,-74.01347,gastropubs,restaurants
Battery Park City,View of the World Terrace Club,3.5,166,$$,40.709845,-74.013894,newamerican,restaurants
Battery Park City,Bao Bao Cafe,4.0,189,$,40.70854,-74.01366999999999,noodles,restaurants
Battery Park City,Schilling,4.0,154,$$,40.70857,-74.014,austrian,restaurants
Battery Park City,Hot Dog Cart At South End Ave,4.0,26,$,40.7109314570261,-74.0161190947942,foodstands,restaurants
Battery Park City,Picasso Pizza,3.0,117,$,40.710402,-74.016469,pizza,restaurants
Battery Park City,Parm,3.0,375,$$,40.7144510120714,-74.0161083107869,italian,restaurants
Battery Park City,Del Frisco's Grille,3.5,152,$$$,40.714166999999996,-74.016111,tradamerican,restaurants
Battery Park City,Merchants River House,4.0,446,$$,40.7112882252543,-74.0176175854584,newamerican,restaurants
Battery Park City,Seamore's,3.5,109,$$,40.714180477784204,-74.0155678242445,seafood,restaurants
Battery Park City,Skinny Pizza,2.5,94,$$,40.711985999999996,-74.015266,pizza,restaurants
Battery Park City,Bar a Vin,3.5,40,$$,40.712455,-74.015304,french,restaurants
Battery Park City,Black Seed Bagels At Hudson Eats,2.0,186,$$,40.712592806016104,-74.0158035308725,bagels,food
Battery Park City,Mighty Quinn's Barbeque,3.5,270,$$,40.712545,-74.0156618,bbq,restaurants
Battery Park City,St. George Tavern,3.5,106,$$,40.70838,-74.01408,french,restaurants
Battery Park City,Dig,3.5,175,$$,40.7127509843895,-74.01555694729079,newamerican,restaurants
Battery Park City,Benvenuti Pizzeria,3.0,50,$$,40.70970894060721,-74.0167829487317,pizza,restaurants
Battery Park City,P.J. Clarke's,3.0,549,$$,40.7136996616618,-74.0162283182144,tradamerican,restaurants
Battery Park City,Hudson Eats,4.0,8,,40.7128272044248,-74.0156737008855,food_court,restaurants
Battery Park City,Fuku,3.0,143,$$,40.71156,-74.01533,comfortfood,restaurants
Battery Park City,Jiangnan Chinese Cuisine,3.5,54,$$,40.70838,-74.01408,chinese,restaurants
Battery Park City,Northern Tiger,3.0,155,$$,40.7126462901984,-74.01601105410609,chinese,restaurants
Battery Park City,El Vez Burrito Bar,4.0,133,$$,40.714735637679205,-74.015635,mexican,restaurants
Battery Park City,Creperie,3.0,14,$,40.711547382455,-74.0153995156288,creperies,restaurants
Battery Park City,Chipotle Mexican Grill,2.0,39,$,40.7107027115765,-74.0163696314733,mexican,restaurants
Battery Park City,Dos Toros Taqueria,3.5,109,$$,40.7130865074113,-74.0160842315927,mexican,restaurants
Battery Park City,Devon & Blakely,2.0,89,$$,40.714141219887,-74.01550097077791,sandwiches,restaurants
Battery Park City,Chopt Creative Salad Co.,3.0,121,$$,40.712349458594,-74.0158876724914,salad,restaurants
Battery Park City,One Dine,3.0,150,$$$,40.713122,-74.013364,newamerican,restaurants
Battery Park City,Chopt Creative Salad Co.,3.0,5,,40.712894,-74.015701,salad,restaurants
Battery Park City,Casa Masa,3.0,3,,40.710645,-74.015555,mexican,restaurants
Battery Park City,Merchants BBQ,4.0,1,$$$,40.712398,-74.01541800000001,localflavor,
Battery Park City,Central Tavern,4.0,1,,40.7106053084135,-74.0144895762205,tradamerican,restaurants
Battery Park City,Freddo Cafe,2.5,6,$,40.70912,-74.01322990000001,diners,restaurants
Battery Park City,Casa Masa,4.0,1,,40.71428,-74.01515,foodstands,restaurants
Central Park,Cafe Boulud,4.0,726,$$$$,40.774440000000006,-73.96396,french,restaurants
Central Park,Good Enough to Eat,3.5,1423,$$,40.7859436042416,-73.9727859590175,breakfast_brunch,restaurants
Central Park,Lokal 83 Mediterranean Kitchen,4.5,303,$$,40.7842696,-73.9734941,mediterranean,restaurants
Central Park,Blossom on Columbus,4.0,375,$$,40.7853146,-73.9728638,vegan,restaurants
Central Park,William Greenberg Desserts,4.0,237,$$,40.77854,-73.96069,bakeries,food
Central Park,Sant Ambroeus,4.0,388,$$$,40.77541,-73.96297,italian,restaurants
Central Park,Cilantro,3.5,427,$$,40.784628999999995,-73.97312099999999,mexican,restaurants
Central Park,The Dining Room at The Met,3.5,91,$$$,40.779165500000005,-73.96292779999999,newamerican,restaurants
Central Park,Le Pain Quotidien,3.5,227,$$,40.779739176461796,-73.9593520760537,bakeries,food
Central Park,Bella Luna,3.5,278,$$,40.787762,-73.971458,italian,restaurants
Central Park,DiSO's Italian Sandwich Society,4.5,256,$$,40.7527323302057,-73.9705090608521,foodtrucks,food
Central Park,Bellini Italian Restaurant,3.5,247,$$,40.78457,-73.97317,italian,restaurants
Central Park,Tri Dim West,4.0,91,$$,40.78412,-73.97368,shanghainese,chinese
Central Park,Pastrami Queen,3.5,511,$$,40.774370000000005,-73.95911,delis,restaurants
Central Park,Motorino,3.5,215,$$,40.7855672,-73.97308170000001,pizza,restaurants
Central Park,The Consulate,4.5,74,$$$,40.78586,-73.97242,french,restaurants
Central Park,La Mirabelle,4.0,123,$$$,40.786359999999995,-73.97261999999999,french,restaurants
Central Park,The New Amity Restaurant,3.5,164,$$,40.77984,-73.95985999999999,diners,restaurants
Central Park,The Mark Restaurant,3.5,255,$$$$,40.775355,-73.96333,french,restaurants
Central Park,Mido Japanese,4.0,208,$$,40.790049100000005,-73.9734598,japanese,restaurants
Central Park,Dulce Vida Latin Bistro,3.5,252,$$,40.77704,-73.95721,breakfast_brunch,restaurants
Central Park,Burger One,4.0,194,$,40.7752780616283,-73.9587344974279,burgers,restaurants
Central Park,Dos Toros Taqueria,3.5,379,$,40.773950899999996,-73.9594762,mexican,restaurants
Central Park,Viand,4.0,95,$$,40.7856907,-73.972613,breakfast_brunch,restaurants
Central Park,Billy's Hot Dog Cart,5.0,25,$,40.78973,-73.9661,foodstands,restaurants
Central Park,Tarallucci E Vino - Upper West Side,3.5,124,$$,40.78436,-73.9735,italian,restaurants
Central Park,Matsu,3.5,107,$$,40.7845979,-73.9732188,japanese,restaurants
Central Park,Serafina Fabulous Pizza,3.0,324,$$,40.7762350782493,-73.9623423504256,italian,restaurants
Central Park,The Petrie Court Café,2.5,100,$$,40.779108630404004,-73.9643118198517,brasseries,restaurants
Central Park,Cafe Sabarsky,4.0,497,$$,40.7813294606411,-73.96036863327029,german,restaurants
Central Park,Lenwich,3.5,129,$,40.784154,-73.973534,sandwiches,restaurants
Central Park,Brad's Burgers & Bbq,4.0,55,$$,40.78609,-73.97266,burgers,restaurants
Central Park,Grazie,4.0,455,$$,40.77948,-73.9601,italian,restaurants
